Type,Term,Year,Count,Perc
Biotic interactions and networks,inter-specific* OR interspecific*,1998,11,0.636
Biotic interactions and networks,inter-specific* OR interspecific*,1997,8,0.463
Biotic interactions and networks,inter-specific* OR interspecific*,1996,4,0.231
Biotic interactions and networks,inter-specific* OR interspecific*,1995,3,0.174
Biotic interactions and networks,intra-specific* OR intraspecific*,2019,138,9.231
Biotic interactions and networks,intra-specific* OR intraspecific*,2018,183,12.241
Biotic interactions and networks,intra-specific* OR intraspecific*,2017,165,11.037
Biotic interactions and networks,intra-specific* OR intraspecific*,2016,155,10.368
Biotic interactions and networks,intra-specific* OR intraspecific*,2015,105,7.023
Biotic interactions and networks,intra-specific* OR intraspecific*,2014,103,6.89
Biotic interactions and networks,intra-specific* OR intraspecific*,2013,110,7.358
Biotic interactions and networks,intra-specific* OR intraspecific*,2012,77,5.151
Biotic interactions and networks,intra-specific* OR intraspecific*,2011,76,5.084
Biotic interactions and networks,intra-specific* OR intraspecific*,2010,71,4.749
Biotic interactions and networks,intra-specific* OR intraspecific*,2009,51,3.411
Biotic interactions and networks,intra-specific* OR intraspecific*,2008,41,2.742
Biotic interactions and networks,intra-specific* OR intraspecific*,2007,45,3.01
Biotic interactions and networks,intra-specific* OR intraspecific*,2006,31,2.074
Biotic interactions and networks,intra-specific* OR intraspecific*,2005,27,1.806
Biotic interactions and networks,intra-specific* OR intraspecific*,2004,20,1.338
Biotic interactions and networks,intra-specific* OR intraspecific*,2003,16,1.07
Biotic interactions and networks,intra-specific* OR intraspecific*,2002,11,0.736
Biotic interactions and networks,intra-specific* OR intraspecific*,2001,15,1.003
Biotic interactions and networks,intra-specific* OR intraspecific*,2000,12,0.803
Biotic interactions and networks,intra-specific* OR intraspecific*,1999,7,0.468
Biotic interactions and networks,intra-specific* OR intraspecific*,1998,11,0.736
Biotic interactions and networks,intra-specific* OR intraspecific*,1997,9,0.602
Biotic interactions and networks,intra-specific* OR intraspecific*,1996,8,0.535
Biotic interactions and networks,intra-specific* OR intraspecific*,1995,6,0.401
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2019,2,3.571
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2018,7,12.5
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2017,7,12.5
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2016,6,10.714
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2015,7,12.5
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2014,5,8.929
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2013,2,3.571
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2012,5,8.929
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2011,5,8.929
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2010,2,3.571
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2009,1,1.786
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2008,1,1.786
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2007,2,3.571
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2006,1,1.786
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,2005,2,3.571
Spatially explicit,point NEAR/0 pattern* OR point-pattern*,1999,1,1.786
Spatially explicit,variogram* or semivari*,2019,6,7.895
Spatially explicit,variogram* or semivari*,2018,7,9.211
Spatially explicit,variogram* or semivari*,2017,6,7.895
Spatially explicit,variogram* or semivari*,2016,4,5.263
Spatially explicit,variogram* or semivari*,2015,10,13.158
Spatially explicit,variogram* or semivari*,2014,2,2.632
Spatially explicit,variogram* or semivari*,2013,4,5.263
Spatially explicit,variogram* or semivari*,2012,3,3.947
Spatially explicit,variogram* or semivari*,2011,5,6.579
Spatially explicit,variogram* or semivari*,2010,4,5.263
Spatially explicit,variogram* or semivari*,2009,3,3.947
Spatially explicit,variogram* or semivari*,2008,2,2.632
Spatially explicit,variogram* or semivari*,2007,4,5.263
Spatially explicit,variogram* or semivari*,2006,3,3.947
Spatially explicit,variogram* or semivari*,2005,2,2.632
Spatially explicit,variogram* or semivari*,2003,2,2.632
Spatially explicit,variogram* or semivari*,2002,2,2.632
Spatially explicit,variogram* or semivari*,2001,1,1.316
Spatially explicit,variogram* or semivari*,2000,1,1.316
Spatially explicit,variogram* or semivari*,1999,1,1.316
Spatially explicit,variogram* or semivari*,1998,3,3.947
Spatially explicit,variogram* or semivari*,1995,1,1.316
Spatially explicit,pair NEAR/0 correl*,2018,2,18.182
Spatially explicit,pair NEAR/0 correl*,2017,2,18.182
Spatially explicit,pair NEAR/0 correl*,2015,1,9.091
Spatially explicit,pair NEAR/0 correl*,2014,1,9.091
Spatially explicit,pair NEAR/0 correl*,2013,1,9.091
Spatially explicit,pair NEAR/0 correl*,2011,2,18.182
Spatially explicit,pair NEAR/0 correl*,2010,1,9.091
Spatially explicit,pair NEAR/0 correl*,2002,1,9.091
Classic biodiversity patterns,invasi* OR invad*,2019,660,7.548
Classic biodiversity patterns,invasi* OR invad*,2018,961,10.99
Classic biodiversity patterns,invasi* OR invad*,2017,896,10.247
Classic biodiversity patterns,invasi* OR invad*,2016,797,9.115
Classic biodiversity patterns,invasi* OR invad*,2015,754,8.623
Classic biodiversity patterns,invasi* OR invad*,2014,640,7.319
Classic biodiversity patterns,invasi* OR invad*,2013,610,6.976
Classic biodiversity patterns,invasi* OR invad*,2012,501,5.73
Classic biodiversity patterns,invasi* OR invad*,2011,466,5.329
Classic biodiversity patterns,invasi* OR invad*,2010,437,4.998
Classic biodiversity patterns,invasi* OR invad*,2009,351,4.014
Classic biodiversity patterns,invasi* OR invad*,2008,316,3.614
Classic biodiversity patterns,invasi* OR invad*,2007,284,3.248
Classic biodiversity patterns,invasi* OR invad*,2006,242,2.768
Classic biodiversity patterns,invasi* OR invad*,2005,188,2.15
Classic biodiversity patterns,invasi* OR invad*,2004,149,1.704
Classic biodiversity patterns,invasi* OR invad*,2003,110,1.258
Classic biodiversity patterns,invasi* OR invad*,2002,84,0.961
Classic biodiversity patterns,invasi* OR invad*,2001,71,0.812
Classic biodiversity patterns,invasi* OR invad*,2000,58,0.663
Classic biodiversity patterns,invasi* OR invad*,1999,49,0.56
Classic biodiversity patterns,invasi* OR invad*,1998,27,0.309
Classic biodiversity patterns,invasi* OR invad*,1997,42,0.48
Classic biodiversity patterns,invasi* OR invad*,1996,23,0.263
Classic biodiversity patterns,invasi* OR invad*,1995,16,0.183
Biotic interactions and networks,biotic NEAR/0 interact*,2019,69,8.938
Biotic interactions and networks,biotic NEAR/0 interact*,2018,111,14.378
Biotic interactions and networks,biotic NEAR/0 interact*,2017,95,12.306
Biotic interactions and networks,biotic NEAR/0 interact*,2016,90,11.658
Biotic interactions and networks,biotic NEAR/0 interact*,2015,71,9.197
Biotic interactions and networks,biotic NEAR/0 interact*,2014,50,6.477
Biotic interactions and networks,biotic NEAR/0 interact*,2013,66,8.549
Biotic interactions and networks,biotic NEAR/0 interact*,2012,37,4.793
Biotic interactions and networks,biotic NEAR/0 interact*,2011,34,4.404
Biotic interactions and networks,biotic NEAR/0 interact*,2010,28,3.627
Biotic interactions and networks,biotic NEAR/0 interact*,2009,22,2.85
Biotic interactions and networks,biotic NEAR/0 interact*,2008,24,3.109
Biotic interactions and networks,biotic NEAR/0 interact*,2007,13,1.684
Biotic interactions and networks,biotic NEAR/0 interact*,2006,14,1.813
Biotic interactions and networks,biotic NEAR/0 interact*,2005,9,1.166
Biotic interactions and networks,biotic NEAR/0 interact*,2004,4,0.518
Biotic interactions and networks,biotic NEAR/0 interact*,2003,5,0.648
Biotic interactions and networks,biotic NEAR/0 interact*,2002,5,0.648
Biotic interactions and networks,biotic NEAR/0 interact*,2001,3,0.389
Biotic interactions and networks,biotic NEAR/0 interact*,2000,3,0.389
Biotic interactions and networks,biotic NEAR/0 interact*,1999,7,0.907
Biotic interactions and networks,biotic NEAR/0 interact*,1998,2,0.259
Biotic interactions and networks,biotic NEAR/0 interact*,1997,4,0.518
Biotic interactions and networks,biotic NEAR/0 interact*,1996,2,0.259
Biotic interactions and networks,biotic NEAR/0 interact*,1995,3,0.389
ISA,*coenos* OR *cenos*,2019,20,5.988
ISA,*coenos* OR *cenos*,2018,27,8.084
ISA,*coenos* OR *cenos*,2017,22,6.587
ISA,*coenos* OR *cenos*,2016,29,8.683
ISA,*coenos* OR *cenos*,2015,25,7.485
ISA,*coenos* OR *cenos*,2014,17,5.09
ISA,*coenos* OR *cenos*,2013,16,4.79
ISA,*coenos* OR *cenos*,2012,24,7.186
ISA,*coenos* OR *cenos*,2011,27,8.084
ISA,*coenos* OR *cenos*,2010,15,4.491
ISA,*coenos* OR *cenos*,2009,14,4.192
ISA,*coenos* OR *cenos*,2008,15,4.491
ISA,*coenos* OR *cenos*,2007,9,2.695
ISA,*coenos* OR *cenos*,2006,12,3.593
ISA,*coenos* OR *cenos*,2005,5,1.497
ISA,*coenos* OR *cenos*,2004,6,1.796
ISA,*coenos* OR *cenos*,2003,10,2.994
ISA,*coenos* OR *cenos*,2002,6,1.796
ISA,*coenos* OR *cenos*,2001,5,1.497
ISA,*coenos* OR *cenos*,2000,6,1.796
ISA,*coenos* OR *cenos*,1999,6,1.796
ISA,*coenos* OR *cenos*,1998,1,0.299
ISA,*coenos* OR *cenos*,1997,5,1.497
ISA,*coenos* OR *cenos*,1996,3,0.898
ISA,*coenos* OR *cenos*,1995,5,1.497
Spatially explicit,K-function,2018,3,18.75
Spatially explicit,K-function,2017,1,6.25
Spatially explicit,K-function,2016,1,6.25
Spatially explicit,K-function,2015,1,6.25
Spatially explicit,K-function,2013,3,18.75
Spatially explicit,K-function,2012,2,12.5
Spatially explicit,K-function,2009,1,6.25
Spatially explicit,K-function,2008,1,6.25
Spatially explicit,K-function,2007,1,6.25
Spatially explicit,K-function,2006,1,6.25
Spatially explicit,K-function,2005,1,6.25
Spatially explicit,kriging,2019,12,12.371
Spatially explicit,kriging,2018,5,5.155
Spatially explicit,kriging,2017,13,13.402
Spatially explicit,kriging,2016,7,7.216
Spatially explicit,kriging,2015,7,7.216
Spatially explicit,kriging,2014,5,5.155
Spatially explicit,kriging,2013,8,8.247
Spatially explicit,kriging,2012,3,3.093
Spatially explicit,kriging,2011,9,9.278
Spatially explicit,kriging,2010,3,3.093
Spatially explicit,kriging,2009,6,6.186
Spatially explicit,kriging,2008,2,2.062
Spatially explicit,kriging,2007,4,4.124
Spatially explicit,kriging,2006,4,4.124
Spatially explicit,kriging,2005,2,2.062
Spatially explicit,kriging,2003,2,2.062
Spatially explicit,kriging,2000,2,2.062
Spatially explicit,kriging,1998,2,2.062
Spatially explicit,kriging,1997,1,1.031
Spatially explicit,spatial* NEAR/0 autocor*,2019,37,5.901
Spatially explicit,spatial* NEAR/0 autocor*,2018,39,6.22
Spatially explicit,spatial* NEAR/0 autocor*,2017,40,6.38
Spatially explicit,spatial* NEAR/0 autocor*,2016,55,8.772
Spatially explicit,spatial* NEAR/0 autocor*,2015,33,5.263
Spatially explicit,spatial* NEAR/0 autocor*,2014,50,7.974
Spatially explicit,spatial* NEAR/0 autocor*,2013,49,7.815
Spatially explicit,spatial* NEAR/0 autocor*,2012,40,6.38
Spatially explicit,spatial* NEAR/0 autocor*,2011,49,7.815
Spatially explicit,spatial* NEAR/0 autocor*,2010,33,5.263
Spatially explicit,spatial* NEAR/0 autocor*,2009,49,7.815
Spatially explicit,spatial* NEAR/0 autocor*,2008,38,6.061
Spatially explicit,spatial* NEAR/0 autocor*,2007,28,4.466
Spatially explicit,spatial* NEAR/0 autocor*,2006,27,4.306
Spatially explicit,spatial* NEAR/0 autocor*,2005,15,2.392
Spatially explicit,spatial* NEAR/0 autocor*,2004,11,1.754
Spatially explicit,spatial* NEAR/0 autocor*,2003,4,0.638
Spatially explicit,spatial* NEAR/0 autocor*,2002,12,1.914
Spatially explicit,spatial* NEAR/0 autocor*,2001,7,1.116
Spatially explicit,spatial* NEAR/0 autocor*,2000,3,0.478
Spatially explicit,spatial* NEAR/0 autocor*,1999,6,0.957
Spatially explicit,spatial* NEAR/0 autocor*,1998,1,0.159
Spatially explicit,spatial* NEAR/0 autocor*,1995,1,0.159
Spatially explicit,nearest NEAR/0 neighbor*,2019,9,9.278
Spatially explicit,nearest NEAR/0 neighbor*,2018,18,18.557
Spatially explicit,nearest NEAR/0 neighbor*,2017,7,7.216
Spatially explicit,nearest NEAR/0 neighbor*,2016,11,11.34
Spatially explicit,nearest NEAR/0 neighbor*,2015,9,9.278
Spatially explicit,nearest NEAR/0 neighbor*,2014,5,5.155
Spatially explicit,nearest NEAR/0 neighbor*,2013,9,9.278
Spatially explicit,nearest NEAR/0 neighbor*,2012,4,4.124
Spatially explicit,nearest NEAR/0 neighbor*,2011,5,5.155
Spatially explicit,nearest NEAR/0 neighbor*,2010,5,5.155
Spatially explicit,nearest NEAR/0 neighbor*,2009,1,1.031
Spatially explicit,nearest NEAR/0 neighbor*,2008,3,3.093
Spatially explicit,nearest NEAR/0 neighbor*,2007,1,1.031
Spatially explicit,nearest NEAR/0 neighbor*,2006,2,2.062
Spatially explicit,nearest NEAR/0 neighbor*,2005,3,3.093
Spatially explicit,nearest NEAR/0 neighbor*,2003,2,2.062
Spatially explicit,nearest NEAR/0 neighbor*,2002,2,2.062
Spatially explicit,nearest NEAR/0 neighbor*,2001,1,1.031
Spatially explicit,distance NEAR/0 decay*,2019,12,5.085
Spatially explicit,distance NEAR/0 decay*,2018,30,12.712
Spatially explicit,distance NEAR/0 decay*,2017,23,9.746
Spatially explicit,distance NEAR/0 decay*,2016,30,12.712
Spatially explicit,distance NEAR/0 decay*,2015,18,7.627
Spatially explicit,distance NEAR/0 decay*,2014,19,8.051
Spatially explicit,distance NEAR/0 decay*,2013,22,9.322
Spatially explicit,distance NEAR/0 decay*,2012,22,9.322
Spatially explicit,distance NEAR/0 decay*,2011,16,6.78
Spatially explicit,distance NEAR/0 decay*,2010,17,7.203
Spatially explicit,distance NEAR/0 decay*,2009,8,3.39
Spatially explicit,distance NEAR/0 decay*,2008,6,2.542
Spatially explicit,distance NEAR/0 decay*,2007,6,2.542
Spatially explicit,distance NEAR/0 decay*,2006,1,0.424
Spatially explicit,distance NEAR/0 decay*,2005,3,1.271
Spatially explicit,distance NEAR/0 decay*,2003,1,0.424
Spatially explicit,distance NEAR/0 decay*,2002,1,0.424
Spatially explicit,distance NEAR/0 decay*,1999,1,0.424
Classic biodiversity patterns,geograph* NEAR/0 range*,2019,92,7.082
Classic biodiversity patterns,geograph* NEAR/0 range*,2018,117,9.007
Classic biodiversity patterns,geograph* NEAR/0 range*,2017,122,9.392
Classic biodiversity patterns,geograph* NEAR/0 range*,2016,108,8.314
Classic biodiversity patterns,geograph* NEAR/0 range*,2015,95,7.313
Classic biodiversity patterns,geograph* NEAR/0 range*,2014,102,7.852
Classic biodiversity patterns,geograph* NEAR/0 range*,2013,97,7.467
Classic biodiversity patterns,geograph* NEAR/0 range*,2012,67,5.158
Classic biodiversity patterns,geograph* NEAR/0 range*,2011,69,5.312
Classic biodiversity patterns,geograph* NEAR/0 range*,2010,64,4.927
Classic biodiversity patterns,geograph* NEAR/0 range*,2009,54,4.157
Classic biodiversity patterns,geograph* NEAR/0 range*,2008,62,4.773
Classic biodiversity patterns,geograph* NEAR/0 range*,2007,46,3.541
Classic biodiversity patterns,geograph* NEAR/0 range*,2006,40,3.079
Classic biodiversity patterns,geograph* NEAR/0 range*,2005,33,2.54
Classic biodiversity patterns,geograph* NEAR/0 range*,2004,29,2.232
Classic biodiversity patterns,geograph* NEAR/0 range*,2003,17,1.309
Classic biodiversity patterns,geograph* NEAR/0 range*,2002,24,1.848
Classic biodiversity patterns,geograph* NEAR/0 range*,2001,13,1.001
Classic biodiversity patterns,geograph* NEAR/0 range*,2000,7,0.539
Classic biodiversity patterns,geograph* NEAR/0 range*,1999,12,0.924
Classic biodiversity patterns,geograph* NEAR/0 range*,1998,10,0.77
Classic biodiversity patterns,geograph* NEAR/0 range*,1997,6,0.462
Classic biodiversity patterns,geograph* NEAR/0 range*,1996,2,0.154
Classic biodiversity patterns,geograph* NEAR/0 range*,1995,6,0.462
Classic biodiversity patterns,functional,2019,951,9.322
Classic biodiversity patterns,functional,2018,1285,12.596
Classic biodiversity patterns,functional,2017,1133,11.106
Classic biodiversity patterns,functional,2016,1011,9.91
Classic biodiversity patterns,functional,2015,854,8.371
Classic biodiversity patterns,functional,2014,773,7.577
Classic biodiversity patterns,functional,2013,672,6.587
Classic biodiversity patterns,functional,2012,571,5.597
Classic biodiversity patterns,functional,2011,475,4.656
Classic biodiversity patterns,functional,2010,393,3.852
Classic biodiversity patterns,functional,2009,363,3.558
Classic biodiversity patterns,functional,2008,297,2.911
Classic biodiversity patterns,functional,2007,266,2.607
Classic biodiversity patterns,functional,2006,210,2.058
Classic biodiversity patterns,functional,2005,158,1.549
Classic biodiversity patterns,functional,2004,148,1.451
Classic biodiversity patterns,functional,2003,139,1.362
Classic biodiversity patterns,functional,2002,94,0.921
Classic biodiversity patterns,functional,2001,76,0.745
Classic biodiversity patterns,functional,2000,77,0.755
Classic biodiversity patterns,functional,1999,74,0.725
Classic biodiversity patterns,functional,1998,66,0.647
Classic biodiversity patterns,functional,1997,41,0.402
Classic biodiversity patterns,functional,1996,29,0.284
Classic biodiversity patterns,phylogenetic,2019,529,8.331
Classic biodiversity patterns,phylogenetic,2018,766,12.063
Classic biodiversity patterns,phylogenetic,2017,684,10.772
Classic biodiversity patterns,phylogenetic,2016,673,10.598
Classic biodiversity patterns,phylogenetic,2015,574,9.039
Classic biodiversity patterns,phylogenetic,2014,514,8.094
Classic biodiversity patterns,phylogenetic,2013,429,6.756
Classic biodiversity patterns,phylogenetic,2012,367,5.78
Classic biodiversity patterns,phylogenetic,2011,301,4.74
Classic biodiversity patterns,phylogenetic,2010,262,4.126
Classic biodiversity patterns,phylogenetic,2009,249,3.921
Classic biodiversity patterns,phylogenetic,2008,202,3.181
Classic biodiversity patterns,phylogenetic,2007,170,2.677
Classic biodiversity patterns,phylogenetic,2006,131,2.063
Classic biodiversity patterns,phylogenetic,2005,97,1.528
Classic biodiversity patterns,phylogenetic,2004,85,1.339
Classic biodiversity patterns,phylogenetic,2003,49,0.772
Classic biodiversity patterns,phylogenetic,2002,61,0.961
Classic biodiversity patterns,phylogenetic,2001,45,0.709
Classic biodiversity patterns,phylogenetic,2000,47,0.74
Classic biodiversity patterns,phylogenetic,1999,28,0.441
Classic biodiversity patterns,phylogenetic,1998,32,0.504
Classic biodiversity patterns,phylogenetic,1997,15,0.236
Classic biodiversity patterns,phylogenetic,1996,12,0.189
Classic biodiversity patterns,phylogenetic,1995,11,0.173
